pr_name,pr_number,commit_sha,timestamp,score,pr_actor
Add dummy model,1,e07dc4afd152f2abe4d2651538b9e6e8ce7200e6,2025-03-19T13:43:33Z,0.01,ashwinvaidya17
Add dummy model,1,cc7cc03e64773cf2b51bdf5355de9edffbfede13,2025-03-19T13:45:36Z,0.01,ashwinvaidya17
Add dummy model,1,70a2d4c147b174a838ba3e2c6dd4d2440c451aab,2025-03-19T13:50:13Z,0.01,ashwinvaidya17
